Date,TH21,TH22,TH23,TH24,IT
16/02/2001,0.449,0.429,0.303,0.344,0.00
16/02/2001,0.476,0.435,0.301,0.337,180.49
17/02/2001,NaN,NaN,NaN,NaN,NaN
17/02/2001,NaN,NaN,NaN,NaN,NaN
18/02/2001,NaN,NaN,NaN,NaN,NaN
18/02/2001,NaN,NaN,NaN,NaN,NaN
19/02/2001,0.44,0.428,0.3,0.341,NaN
19/02/2001,NaN,NaN,NaN,NaN,NaN
20/02/2001,NaN,NaN,NaN,NaN,NaN
20/02/2001,NaN,NaN,NaN,NaN,NaN
21/02/2001,NaN,NaN,NaN,NaN,NaN
21/02/2001,NaN,NaN,NaN,NaN,NaN
22/02/2001,NaN,NaN,NaN,NaN,NaN
22/02/2001,NaN,NaN,NaN,NaN,NaN
23/02/2001,NaN,NaN,NaN,NaN,NaN
23/02/2001,NaN,NaN,NaN,NaN,NaN
24/02/2001,NaN,NaN,NaN,NaN,NaN
24/02/2001,NaN,NaN,NaN,NaN,NaN
25/02/2001,NaN,NaN,NaN,NaN,NaN
25/02/2001,NaN,NaN,NaN,NaN,NaN
26/02/2001,NaN,NaN,NaN,NaN,NaN
26/02/2001,NaN,NaN,NaN,NaN,NaN
27/02/2001,NaN,NaN,NaN,NaN,NaN
27/02/2001,NaN,NaN,NaN,NaN,NaN
28/02/2001,NaN,NaN,NaN,NaN,NaN
28/02/2001,NaN,NaN,NaN,NaN,NaN
